"index","id","name","primaryMuscle","inferredMuscle","bodyPart","equipment","imageTarget","videoTarget","duplicateCount","quality","flags"
"3879","lunge_with_leg_lift","Lunge with Leg Lift","Quads","Quads","Plyometrics","Body weight","","","2","54","missing_image;duplicate_group"
"3880","lunge_with_leg_lift_lunge_with_leg_lift_8us","Lunge with Leg Lift","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","","2","44","missing_video;duplicate_group"
"3881","lying_lying_6qh","Lying","Quads","Custom","Quadriceps, Thighs","Body weight","Thighs","Thighs","1","74","image_target:Thighs;video_target:Thighs"
"3882","lying_double_leg_kick","Lying Double Leg Kick","Quads","Custom","Thighs","Body weight","","","1","74",""
"3883","lying_femoral","Lying Femoral","Quads","Custom","Hamstrings, Thighs","Dumbbell","Thighs","Thighs","1","74","image_target:Thighs;video_target:Thighs"
"3884","lying_hip_flexor","Lying Hip Flexor","Quads","Custom","Thighs","Body weight","Thighs","","1","44","missing_video;image_target:Thighs"
"3885","lying_leg_tuck_hip_back_stretch","Lying Leg Tuck Hip Back Stretch","Quads","Back","Thighs","Body weight","Glutes","","1","44","missing_video;muscle_mismatch:Quads->Back;image_target:Glutes"
"3886","lying_leg_tuck_hip_back_to_right_stretch","Lying Leg Tuck Hip Back to Right Stretch","Quads","Back","Thighs","Body weight","Glutes","","1","44","missing_video;muscle_mismatch:Quads->Back;image_target:Glutes"
"3887","lying_leg_tuck_hip_stretch","Lying Leg Tuck Hip Stretch","Quads","Custom","Thighs","Body weight","Glutes","Glutes","1","74","image_target:Glutes;video_target:Glutes"
"3888","lying_leg_tuck_hip_stretch_wth_overhead_hands","Lying Leg Tuck Hip Stretch wth Overhead Hands","Quads","Custom","Thighs","Body weight","Glutes","","1","44","missing_video;image_target:Glutes"
"3889","lying_single_leg_kick","Lying Single Leg Kick","Quads","Custom","Thighs","Body weight","","","1","44","missing_video"
"3890","lying_single_straight_leg_hip_extension","Lying Single Straight Leg Hip Extension","Quads","Custom","Thighs","Body weight","Thighs","","1","44","missing_video;image_target:Thighs"
